PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35443219","Naturalistic viewing conditions can increase task engagement and aesthetic preference but have only minimal impact on EEG quality","Welke D, Vessel EA.","Neuroimage. 2022 Aug 1;256:119218. doi: 10.1016/j.neuroimage.2022.119218. Epub 2022 Apr 17.","Welke D","Neuroimage","2022","2022/04/20","","","10.1016/j.neuroimage.2022.119218"
"35278015","Zapline-plus: A Zapline extension for automatic and adaptive removal of frequency-specific noise artifacts in M/EEG","Klug M, Kloosterman NA.","Hum Brain Mapp. 2022 Jun 15;43(9):2743-2758. doi: 10.1002/hbm.25832. Epub 2022 Mar 12.","Klug M","Hum Brain Mapp","2022","2022/03/12","PMC9120550","","10.1002/hbm.25832"
"35523023","A self-driven approach for multi-class discrimination in Alzheimer's disease based on wearable EEG","Perez-Valero E, Lopez-Gordo MÁ, Gutiérrez CM, Carrera-Muñoz I, Vílchez-Carrillo RM.","Comput Methods Programs Biomed. 2022 Jun;220:106841. doi: 10.1016/j.cmpb.2022.106841. Epub 2022 Apr 27.","Perez-Valero E","Comput Methods Programs Biomed","2022","2022/05/06","","","10.1016/j.cmpb.2022.106841"
"35632105","EEG-Based Alzheimer's Disease Recognition Using Robust-PCA and LSTM Recurrent Neural Network","Alessandrini M, Biagetti G, Crippa P, Falaschetti L, Luzzi S, Turchetti C.","Sensors (Basel). 2022 May 12;22(10):3696. doi: 10.3390/s22103696.","Alessandrini M","Sensors (Basel)","2022","2022/05/28","PMC9145212","","10.3390/s22103696"
"35508676","Quantitative EEG may predict weaning failure in ventilated patients on the neurological intensive care unit","Welte TM, Gabriel M, Hopfengärtner R, Rampp S, Gollwitzer S, Lang JD, Stritzelberger J, Reindl C, Madžar D, Sprügel MI, Huttner HB, Kuramatsu JB, Schwab S, Hamer HM.","Sci Rep. 2022 May 4;12(1):7293. doi: 10.1038/s41598-022-11196-7.","Welte TM","Sci Rep","2022","2022/05/04","PMC9068701","","10.1038/s41598-022-11196-7"
"35573313","EEG-TNet: An End-To-End Brain Computer Interface Framework for Mental Workload Estimation","Fan C, Hu J, Huang S, Peng Y, Kwong S.","Front Neurosci. 2022 Apr 25;16:869522. doi: 10.3389/fnins.2022.869522. eCollection 2022.","Fan C","Front Neurosci","2022","2022/05/16","PMC9100931","","10.3389/fnins.2022.869522"
"35590938","Emotion Recognition Using a Reduced Set of EEG Channels Based on Holographic Feature Maps","Topic A, Russo M, Stella M, Saric M.","Sensors (Basel). 2022 Apr 23;22(9):3248. doi: 10.3390/s22093248.","Topic A","Sensors (Basel)","2022","2022/05/20","PMC9101362","","10.3390/s22093248"
"35590859","Motion Artifacts Correction from Single-Channel EEG and fNIRS Signals Using Novel Wavelet Packet Decomposition in Combination with Canonical Correlation Analysis","Hossain MS, Chowdhury MEH, Reaz MBI, Ali SHM, Bakar AAA, Kiranyaz S, Khandakar A, Alhatou M, Habib R, Hossain MM.","Sensors (Basel). 2022 Apr 21;22(9):3169. doi: 10.3390/s22093169.","Hossain MS","Sensors (Basel)","2022","2022/05/20","PMC9102309","","10.3390/s22093169"
"35626189","Parkinson's Disease Detection from Resting-State EEG Signals Using Common Spatial Pattern, Entropy, and Machine Learning Techniques","Aljalal M, Aldosari SA, AlSharabi K, Abdurraqeeb AM, Alturki FA.","Diagnostics (Basel). 2022 Apr 20;12(5):1033. doi: 10.3390/diagnostics12051033.","Aljalal M","Diagnostics (Basel)","2022","2022/05/28","PMC9139946","","10.3390/diagnostics12051033"
"35459033","Improved Cognitive Vigilance Assessment after Artifact Reduction with Wavelet Independent Component Analysis","Abu Farha N, Al-Shargie F, Tariq U, Al-Nashash H.","Sensors (Basel). 2022 Apr 15;22(8):3051. doi: 10.3390/s22083051.","Abu Farha N","Sensors (Basel)","2022","2022/04/23","PMC9033092","","10.3390/s22083051"
